route_highway_2_x,route_highway_2_y,route_highway_1_x,route_highway_1_y,route_highway_0_x,route_highway_0_y,route_merging_0_x,route_merging_0_y,route_merging_1_x,route_merging_1_y,others_x,others_y
216598.92,452568.18,216595.73,452568,216592.53,452567.8,216487.88,452460.59,216487.98,452463.79,1,1
216598.98,452567.19,216595.79,452567.01,216592.59,452566.81,216488.87,452460.57,216488.98,452463.76,1,1
216599.04,452566.2,216595.85,452566.02,216592.65,452565.82,216489.85,452460.55,216489.97,452463.74,1,1
216599.1,452565.21,216595.91,452565.04,216592.71,452564.83,216490.84,452460.53,216490.96,452463.72,1,1
216599.16,452564.23,216595.97,452564.05,216592.77,452563.84,216491.84,452460.51,216491.96,452463.7,1,1
216599.22,452563.24,216596.03,452563.06,216592.83,452562.86,216492.83,452460.49,216492.95,452463.68,1,1
216599.28,452562.24,216596.09,452562.06,216592.89,452561.87,216493.82,452460.47,216493.95,452463.66,1,1
216599.34,452561.25,216596.15,452561.08,216592.95,452560.87,216494.81,452460.44,216494.95,452463.64,1,1
216599.4,452560.25,216596.21,452560.09,216593.01,452559.88,216495.8,452460.42,216495.94,452463.62,1,1
216599.47,452559.25,216596.27,452559.09,216593.07,452558.89,216496.79,452460.4,216496.94,452463.6,1,1
216599.53,452558.26,216596.33,452558.11,216593.13,452557.9,216497.78,452460.38,216497.94,452463.58,1,1
216599.59,452557.28,216596.39,452557.12,216593.19,452556.91,216498.76,452460.36,216498.94,452463.56,1,1
216599.65,452556.29,216596.45,452556.13,216593.25,452555.92,216499.75,452460.36,216499.93,452463.56,1,1
216599.71,452555.29,216596.51,452555.14,216593.31,452554.94,216500.74,452460.36,216500.93,452463.56,1,1
216599.77,452554.3,216596.57,452554.15,216593.37,452553.95,216501.73,452460.36,216501.93,452463.56,1,1
216599.83,452553.3,216596.63,452553.16,216593.43,452552.95,216502.72,452460.36,216502.93,452463.56,1,1
216599.89,452552.31,216596.69,452552.17,216593.49,452551.95,216503.7,452460.36,216503.92,452463.56,1,1
216599.95,452551.33,216596.75,452551.17,216593.55,452550.97,216504.68,452460.36,216504.92,452463.56,1,1
216600.01,452550.34,216596.81,452550.18,216593.61,452549.98,216505.67,452460.36,216505.92,452463.56,1,1
216600.07,452549.35,216596.87,452549.18,216593.67,452548.99,216506.65,452460.36,216506.92,452463.56,1,1
216600.13,452548.36,216596.93,452548.19,216593.73,452547.99,216507.63,452460.36,216507.92,452463.56,1,1
216600.19,452547.37,216596.99,452547.2,216593.79,452547.01,216508.62,452460.36,216508.91,452463.56,1,1
216600.25,452546.37,216597.05,452546.21,216593.85,452546.01,216509.61,452460.36,216509.9,452463.56,1,1
216600.31,452545.38,216597.11,452545.22,216593.91,452545.02,216510.59,452460.36,216510.9,452463.56,1,1
216600.37,452544.39,216597.17,452544.24,216593.97,452544.03,216511.58,452460.35,216511.89,452463.55,1,1
216600.43,452543.39,216597.23,452543.25,216594.03,452543.04,216512.57,452460.35,216512.89,452463.55,1,1
216600.48,452542.39,216597.28,452542.27,216594.08,452542.06,216513.56,452460.35,216513.89,452463.55,1,1
216600.53,452541.4,216597.33,452541.28,216594.13,452541.06,216514.55,452460.35,216514.88,452463.55,1,1
216600.57,452540.4,216597.37,452540.28,216594.17,452540.08,216515.55,452460.35,216515.88,452463.55,1,1
216600.61,452539.41,216597.41,452539.29,216594.21,452539.08,216516.54,452460.35,216516.88,452463.55,1,1
216600.66,452538.42,216597.45,452538.3,216594.26,452538.1,216517.53,452460.35,216517.88,452463.55,1,1
216600.7,452537.43,216597.5,452537.31,216594.3,452537.11,216518.53,452460.35,216518.88,452463.55,1,1
216600.74,452536.43,216597.54,452536.32,216594.34,452536.11,216519.51,452460.35,216519.87,452463.55,1,1
216600.79,452535.44,216597.58,452535.32,216594.39,452535.12,216520.51,452460.35,216520.87,452463.55,1,1
216600.83,452534.44,216597.63,452534.33,216594.43,452534.13,216521.5,452460.35,216521.88,452463.55,1,1
216600.87,452533.45,216597.67,452533.34,216594.47,452533.14,216522.5,452460.35,216522.88,452463.55,1,1
216600.92,452532.46,216597.71,452532.36,216594.52,452532.15,216523.48,452460.35,216523.87,452463.55,1,1
216600.96,452531.47,216597.76,452531.37,216594.56,452531.16,216524.47,452460.34,216524.86,452463.53,1,1
216601,452530.48,216597.8,452530.37,216594.6,452530.16,216525.46,452460.31,216525.85,452463.49,1,1
216601.05,452529.48,216597.84,452529.38,216594.64,452529.18,216526.44,452460.27,216526.85,452463.46,1,1
216601.09,452528.48,216597.89,452528.39,216594.69,452528.19,216527.43,452460.24,216527.84,452463.43,1,1
216601.13,452527.49,216597.93,452527.4,216594.73,452527.19,216528.41,452460.21,216528.84,452463.39,1,1
216601.18,452526.49,216597.97,452526.4,216594.77,452526.21,216529.4,452460.17,216529.84,452463.36,1,1
216601.22,452525.49,216598.02,452525.41,216594.82,452525.22,216530.38,452460.14,216530.84,452463.32,1,1
216601.26,452524.49,216598.06,452524.42,216594.86,452524.23,216531.37,452460.11,216531.83,452463.29,1,1
216601.31,452523.5,216598.1,452523.42,216594.9,452523.24,216532.37,452460.07,216532.82,452463.26,1,1
216601.35,452522.5,216598.14,452522.43,216594.95,452522.25,216533.36,452460.04,216533.83,452463.22,1,1
216601.39,452521.5,216598.19,452521.44,216594.99,452521.26,216534.35,452460.01,216534.83,452463.19,1,1
216601.43,452520.52,216598.23,452520.45,216595.03,452520.28,216535.33,452459.98,216535.83,452463.16,1,1
216601.48,452519.52,216598.27,452519.46,216595.07,452519.29,216536.32,452459.94,216536.82,452463.12,1,1
216601.52,452518.53,216598.32,452518.47,216595.12,452518.3,216537.3,452459.91,216537.81,452463.09,1,1
216601.56,452517.54,216598.36,452517.48,216595.16,452517.3,216538.28,452459.88,216538.8,452463.05,1,1
216601.61,452516.55,216598.4,452516.48,216595.2,452516.32,216539.28,452459.84,216539.8,452463.02,1,1
216601.65,452515.56,216598.45,452515.49,216595.25,452515.33,216540.26,452459.81,216540.8,452462.99,1,1
216601.69,452514.57,216598.49,452514.5,216595.29,452514.34,216541.25,452459.78,216541.79,452462.95,1,1
216601.74,452513.57,216598.53,452513.5,216595.33,452513.35,216542.23,452459.74,216542.78,452462.92,1,1
216601.78,452512.57,216598.58,452512.52,216595.38,452512.36,216543.22,452459.71,216543.78,452462.89,1,1
216601.82,452511.58,216598.62,452511.53,216595.42,452511.36,216544.21,452459.68,216544.78,452462.85,1,1
216601.87,452510.58,216598.66,452510.54,216595.46,452510.37,216545.19,452459.64,216545.77,452462.82,1,1
216601.91,452509.59,216598.71,452509.54,216595.51,452509.38,216546.17,452459.57,216546.76,452462.71,1,1
216601.95,452508.6,216598.75,452508.54,216595.55,452508.39,216547.14,452459.37,216547.74,452462.51,1,1
216602,452507.61,216598.79,452507.55,216595.59,452507.4,216548.11,452459.17,216548.71,452462.3,1,1
216602.04,452506.61,216598.83,452506.56,216595.63,452506.41,216549.08,452458.96,216549.69,452462.1,1,1
216602.08,452505.62,216598.88,452505.57,216595.68,452505.43,216550.05,452458.76,216550.66,452461.9,1,1
216602.13,452504.62,216598.92,452504.58,216595.72,452504.44,216551.01,452458.56,216551.63,452461.7,1,1
216602.17,452503.63,216598.96,452503.6,216595.76,452503.45,216551.98,452458.36,216552.61,452461.49,1,1
216602.21,452502.64,216599.01,452502.6,216595.81,452502.47,216552.95,452458.16,216553.59,452461.29,1,1
216602.25,452501.65,216599.05,452501.6,216595.85,452501.49,216553.92,452457.95,216554.56,452461.08,1,1
216602.3,452500.66,216599.09,452500.61,216595.89,452500.5,216554.89,452457.75,216555.53,452460.88,1,1
216602.34,452499.66,216599.14,452499.62,216595.94,452499.51,216555.85,452457.55,216556.51,452460.68,1,1
216602.38,452498.67,216599.18,452498.63,216595.98,452498.51,216556.81,452457.35,216557.48,452460.48,1,1
216602.43,452497.68,216599.22,452497.63,216596.02,452497.51,216557.78,452457.15,216558.45,452460.28,1,1
216602.47,452496.69,216599.27,452496.64,216596.07,452496.53,216558.75,452456.95,216559.44,452460.07,1,1
216602.51,452495.7,216599.31,452495.64,216596.11,452495.53,216559.57,452456.72,216560.54,452459.77,1,1
216602.56,452494.71,216599.35,452494.65,216596.15,452494.54,216560.49,452456.45,216561.52,452459.48,1,1
216602.6,452493.71,216599.4,452493.66,216596.19,452493.55,216561.41,452456.19,216562.51,452459.2,1,1
216602.64,452492.72,216599.44,452492.67,216596.24,452492.55,216562.34,452455.92,216563.49,452458.92,1,1
216602.69,452491.72,216599.48,452491.67,216596.28,452491.57,216563.27,452455.65,216564.48,452458.63,1,1
216602.73,452490.73,216599.53,452490.68,216596.32,452490.58,216564.18,452455.39,216565.47,452458.35,1,1
216602.77,452489.74,216599.57,452489.68,216596.37,452489.59,216565.08,452455.08,216566.43,452457.99,1,1
216602.81,452488.75,216599.61,452488.69,216596.41,452488.61,216565.98,452454.74,216567.39,452457.63,1,1
216602.86,452487.76,216599.66,452487.69,216596.45,452487.61,216566.88,452454.4,216568.34,452457.27,1,1
216602.9,452486.77,216599.7,452486.7,216596.5,452486.62,216567.78,452454.07,216569.3,452456.91,1,1
216602.94,452485.77,216599.74,452485.7,216596.54,452485.63,216568.68,452453.73,216570.26,452456.55,1,1
216602.99,452484.78,216599.78,452484.71,216596.58,452484.64,216569.57,452453.4,216571.22,452456.2,1,1
216603.03,452483.79,216599.83,452483.72,216596.63,452483.65,216570.47,452453.06,216572.18,452455.83,1,1
216603.07,452482.79,216599.87,452482.72,216596.67,452482.65,216571.37,452452.72,216573.14,452455.48,1,1
216603.12,452481.8,216599.91,452481.73,216596.71,452481.66,216572.24,452452.32,216574.02,452454.98,1,1
216603.16,452480.81,216599.96,452480.74,216596.76,452480.66,216573.01,452451.74,216574.84,452454.37,1,1
216603.2,452479.82,216600,452479.75,216596.8,452479.68,216573.78,452451.17,216575.66,452453.76,1,1
216603.25,452478.83,216600.04,452478.77,216596.84,452478.69,216574.55,452450.59,216576.48,452453.15,1,1
216603.29,452477.84,216600.09,452477.78,216596.88,452477.7,216575.32,452450.02,216577.31,452452.53,1,1
216603.33,452476.85,216600.13,452476.79,216596.93,452476.71,216576.09,452449.45,216578.13,452451.92,1,1
216603.38,452475.85,216600.17,452475.79,216596.97,452475.72,216576.86,452448.88,216578.96,452451.31,1,1
216603.42,452474.86,216600.22,452474.79,216597.01,452474.74,216577.64,452448.3,216579.78,452450.7,1,1
216603.46,452473.87,216600.26,452473.8,216597.06,452473.75,216578.4,452447.73,216580.59,452450.09,1,1
216603.5,452472.87,216600.3,452472.81,216597.1,452472.76,216579.16,452447.13,216581.38,452449.44,1,1
216603.55,452471.88,216600.35,452471.82,216597.14,452471.76,216579.82,452446.43,216582.09,452448.69,1,1
216603.59,452470.88,216600.39,452470.83,216597.19,452470.77,216580.48,452445.73,216582.8,452447.95,1,1
216603.63,452469.88,216600.43,452469.84,216597.23,452469.78,216581.15,452445.03,216583.5,452447.2,1,1
216603.68,452468.9,216600.47,452468.86,216597.27,452468.79,216581.81,452444.33,216584.2,452446.45,1,1
216603.72,452467.9,216600.52,452467.87,216597.32,452467.8,216582.46,452443.63,216584.91,452445.71,1,1
216603.76,452466.9,216600.56,452466.88,216597.36,452466.81,216583.04,452442.88,216585.53,452444.89,1,1
216603.81,452465.91,216600.6,452465.89,216597.4,452465.82,216583.62,452442.1,216586.14,452444.07,1,1
216603.85,452464.92,216600.65,452464.9,216597.44,452464.83,216584.19,452441.33,216586.75,452443.24,1,1
216603.89,452463.92,216600.69,452463.91,216597.49,452463.84,216584.76,452440.56,216587.36,452442.41,1,1
216603.94,452462.93,216600.73,452462.91,216597.53,452462.85,216585.33,452439.79,216587.97,452441.59,1,1
216603.98,452461.94,216600.78,452461.92,216597.57,452461.85,216585.9,452439.02,216588.58,452440.76,1,1
216604.02,452460.94,216600.82,452460.92,216597.62,452460.86,216586.47,452438.25,216589.19,452439.94,1,1
216604.07,452459.96,216600.86,452459.93,216597.66,452459.87,216586.84,452437.37,216589.63,452439.03,1,1
216604.11,452458.97,216600.91,452458.93,216597.7,452458.88,216587.17,452436.46,216589.98,452438.07,1,1
216604.14,452457.98,216600.93,452457.94,216597.73,452457.89,216587.5,452435.56,216590.33,452437.1,1,1
216604.16,452456.98,216600.96,452456.94,216597.76,452456.89,216587.82,452434.66,216590.68,452436.14,1,1
216604.19,452455.98,216600.98,452455.96,216597.78,452455.91,216588.15,452433.76,216591.03,452435.18,1,1
216604.21,452454.98,216601.01,452454.97,216597.81,452454.92,216588.46,452432.89,216591.38,452434.22,1,1
216604.24,452454,216601.04,452453.98,216597.84,452453.93,216588.76,452432.06,216591.72,452433.26,1,1
216604.26,452453.01,216601.06,452452.99,216597.86,452452.95,216589.05,452431.27,216592.07,452432.3,1,1
216604.29,452452.01,216601.09,452451.99,216597.89,452451.96,216589.32,452430.51,216592.42,452431.34,1,1
216604.32,452451.02,216601.11,452450.99,216597.91,452450.97,216589.59,452429.79,216592.77,452430.38,1,1
216604.34,452450.03,216601.14,452450,216597.94,452449.98,216589.83,452429.11,216593.12,452429.42,1,1
216604.37,452449.04,216601.17,452449.01,216597.96,452448.98,216590.07,452428.46,216593.47,452428.46,1,1
216604.39,452448.04,216601.19,452448.02,216597.99,452447.99,216590.29,452427.85,216593.81,452427.5,1,1
216604.42,452447.05,216601.22,452447.03,216598.02,452447,216590.5,452427.27,216594.12,452426.52,1,1
216604.45,452446.06,216601.24,452446.03,216598.04,452446,216590.69,452426.73,216594.33,452425.51,1,1
216604.47,452445.06,216601.27,452445.03,216598.07,452445,216590.9,452426.17,216594.54,452424.51,1,1
216604.5,452444.07,216601.3,452444.04,216598.09,452444.01,216591.06,452425.56,216594.74,452423.51,1,1
216604.52,452443.08,216601.32,452443.05,216598.12,452443.02,216591.19,452424.91,216594.94,452422.53,1,1
216604.55,452442.08,216601.35,452442.06,216598.15,452442.04,216591.33,452424.24,216595.14,452421.55,1,1
216604.57,452441.09,216601.37,452441.06,216598.17,452441.05,216591.47,452423.54,216595.34,452420.57,1,1
216604.6,452440.1,216601.4,452440.07,216598.2,452440.05,216591.62,452422.82,216595.53,452419.59,1,1
216604.63,452439.1,216601.43,452439.07,216598.22,452439.06,216591.77,452422.06,216595.73,452418.62,1,1
216604.65,452438.11,216601.45,452438.08,216598.25,452438.08,216591.93,452421.28,216595.93,452417.64,1,1
216604.68,452437.13,216601.48,452437.09,216598.28,452437.08,216592.09,452420.48,216596.12,452416.67,1,1
216604.7,452436.14,216601.5,452436.11,216598.3,452436.09,216592.26,452419.66,216596.32,452415.69,1,1
216604.73,452435.15,216601.53,452435.12,216598.33,452435.1,216592.43,452418.82,216596.52,452414.72,1,1
216604.76,452434.16,216601.55,452434.13,216598.35,452434.11,216592.6,452417.96,216596.69,452413.74,1,1
216604.78,452433.17,216601.58,452433.13,216598.38,452433.12,216592.78,452417.07,216596.87,452412.75,1,1
216604.81,452432.17,216601.61,452432.15,216598.4,452432.13,216592.97,452416.16,216597.04,452411.77,1,1
216604.83,452431.18,216601.63,452431.15,216598.43,452431.15,216593.15,452415.23,216597.21,452410.79,1,1
216604.86,452430.19,216601.66,452430.16,216598.46,452430.15,216593.35,452414.27,216597.39,452409.8,1,1
216604.88,452429.2,216601.68,452429.16,216598.48,452429.16,216593.53,452413.3,216597.56,452408.81,1,1
216604.91,452428.21,216601.71,452428.17,216598.51,452428.16,216593.7,452412.32,216597.73,452407.82,1,1
216604.94,452427.21,216601.74,452427.18,216598.53,452427.18,216593.88,452411.34,216597.9,452406.84,1,1
216604.96,452426.22,216601.76,452426.18,216598.56,452426.18,216594.05,452410.37,216598.08,452405.86,1,1
216604.99,452425.23,216601.79,452425.19,216598.59,452425.18,216594.22,452409.4,216598.25,452404.88,1,1
216605.01,452424.24,216601.81,452424.2,216598.61,452424.19,216594.39,452408.44,216598.42,452403.9,1,1
216605.06,452423.24,216601.86,452423.21,216598.66,452423.2,216594.56,452407.47,216598.59,452402.92,1,1
216605.11,452422.25,216601.91,452422.22,216598.71,452422.22,216594.73,452406.5,216598.73,452401.92,1,1
216605.17,452421.26,216601.97,452421.23,216598.76,452421.23,216594.9,452405.53,216598.86,452400.93,1,1
216605.22,452420.28,216602.02,452420.23,216598.82,452420.24,216595.08,452404.56,216598.98,452399.94,1,1
216605.27,452419.29,216602.07,452419.25,216598.87,452419.25,216595.25,452403.59,216599.11,452398.96,1,1
216605.33,452418.3,216602.13,452418.26,216598.92,452418.26,216595.42,452402.62,216599.24,452397.96,1,1
216605.38,452417.3,216602.18,452417.26,216598.98,452417.27,216595.56,452401.64,216599.37,452396.97,1,1
216605.43,452416.32,216602.23,452416.27,216599.03,452416.27,216595.68,452400.66,216599.49,452395.98,1,1
216605.49,452415.33,216602.29,452415.28,216599.08,452415.29,216595.81,452399.69,216599.62,452394.99,1,1
216605.54,452414.33,216602.34,452414.28,216599.14,452414.3,216595.94,452398.7,216599.75,452394,1,1
216605.59,452413.34,216602.39,452413.3,216599.19,452413.3,216596.06,452397.73,216599.87,452393.01,1,1
216605.65,452412.36,216602.45,452412.31,216599.24,452412.31,216596.19,452396.75,216600,452392.01,1,1
216605.7,452411.36,216602.5,452411.31,216599.3,452411.32,216596.31,452395.78,216600.13,452391.03,1,1
216605.75,452410.38,216602.55,452410.33,216599.35,452410.33,216596.44,452394.8,216600.26,452390.03,1,1
216605.81,452409.39,216602.61,452409.33,216599.4,452409.34,216596.57,452393.82,216600.38,452389.04,1,1
216605.86,452408.4,216602.66,452408.34,216599.46,452408.35,216596.69,452392.83,216600.44,452388.04,1,1
216605.91,452407.4,216602.71,452407.34,216599.51,452407.36,216596.82,452391.86,216600.5,452387.04,1,1
216605.97,452406.41,216602.77,452406.36,216599.56,452406.36,216596.95,452390.88,216600.56,452386.04,1,1
216606.02,452405.41,216602.82,452405.36,216599.62,452405.37,216597.07,452389.9,216600.62,452385.05,1,1
216606.07,452404.42,216602.87,452404.37,216599.67,452404.38,216597.19,452388.93,216600.69,452384.05,1,1
216606.13,452403.43,216602.93,452403.37,216599.72,452403.38,216597.25,452387.95,216600.75,452383.06,1,1
216606.18,452402.44,216602.98,452402.38,216599.78,452402.39,216597.31,452386.97,216600.81,452382.05,1,1
216606.23,452401.45,216603.03,452401.39,216599.83,452401.4,216597.37,452385.98,216600.87,452381.06,1,1
216606.29,452400.46,216603.09,452400.39,216599.88,452400.42,216597.43,452384.99,216600.93,452380.07,1,1
216606.34,452399.47,216603.14,452399.41,216599.94,452399.43,216597.49,452384,216600.99,452379.07,1,1
216606.39,452398.49,216603.19,452398.42,216599.99,452398.44,216597.55,452383.01,216601.06,452378.08,1,1
216606.45,452397.5,216603.25,452397.43,216600.04,452397.44,216597.62,452382.02,216601.12,452377.08,1,1
216606.5,452396.51,216603.3,452396.43,216600.1,452396.45,216597.67,452381.04,216601.18,452376.09,1,1
216606.55,452395.52,216603.35,452395.45,216600.15,452395.45,216597.73,452380.06,216601.24,452375.08,1,1
216606.61,452394.53,216603.41,452394.45,216600.2,452394.47,216597.79,452379.08,216601.29,452374.09,1,1
216606.66,452393.54,216603.46,452393.47,216600.26,452393.47,216597.85,452378.1,216601.31,452373.1,1,1
216606.71,452392.55,216603.51,452392.47,216600.31,452392.48,216597.91,452377.11,216601.33,452372.1,1,1
216606.77,452391.56,216603.57,452391.48,216600.36,452391.49,216597.97,452376.13,216601.34,452371.11,1,1
216606.82,452390.57,216603.62,452390.49,216600.42,452390.49,216598.03,452375.14,216601.36,452370.11,1,1
216606.87,452389.57,216603.67,452389.5,216600.47,452389.5,216598.08,452374.15,216601.38,452369.12,1,1
216606.93,452388.59,216603.73,452388.51,216600.52,452388.51,216598.1,452373.17,216601.4,452368.14,1,1
216606.98,452387.6,216603.78,452387.52,216600.58,452387.53,216598.12,452372.18,216601.42,452367.15,1,1
216607.03,452386.61,216603.83,452386.52,216600.63,452386.53,216598.14,452371.19,216601.44,452366.16,1,1
216607.09,452385.61,216603.89,452385.53,216600.68,452385.54,216598.16,452370.2,216601.46,452365.16,1,1
216607.14,452384.63,216603.94,452384.54,216600.74,452384.54,216598.18,452369.21,216601.48,452364.17,1,1
216607.19,452383.63,216603.99,452383.56,216600.79,452383.54,216598.2,452368.22,216601.5,452363.19,1,1
216607.25,452382.64,216604.05,452382.56,216600.84,452382.55,216598.22,452367.22,216601.52,452362.19,1,1
216607.3,452381.65,216604.1,452381.57,216600.9,452381.56,216598.24,452366.23,216601.54,452361.2,1,1
216607.35,452380.66,216604.15,452380.58,216600.95,452380.57,216598.26,452365.23,216601.56,452360.2,1,1
216607.41,452379.67,216604.21,452379.59,216601,452379.58,216598.28,452364.24,216601.57,452359.21,1,1
216607.46,452378.67,216604.26,452378.6,216601.06,452378.58,216598.3,452363.25,216601.59,452358.21,1,1
216607.51,452377.68,216604.31,452377.61,216601.11,452377.59,216598.31,452362.25,216601.6,452357.22,1,1
216607.57,452376.69,216604.37,452376.62,216601.16,452376.61,216598.33,452361.25,216601.61,452356.23,1,1
216607.62,452375.7,216604.42,452375.64,216601.22,452375.62,216598.35,452360.25,216601.63,452355.23,1,1
216607.67,452374.71,216604.47,452374.65,216601.27,452374.63,216598.37,452359.26,216601.64,452354.24,1,1
216607.7,452373.72,216604.5,452373.65,216601.3,452373.65,216598.39,452358.27,216601.65,452353.25,1,1
216607.72,452372.73,216604.52,452372.67,216601.31,452372.65,216598.4,452357.28,216601.66,452352.26,1,1
216607.73,452371.74,216604.53,452371.67,216601.33,452371.66,216598.41,452356.29,216601.67,452351.26,1,1
216607.75,452370.74,216604.55,452370.68,216601.35,452370.67,216598.42,452355.3,216601.69,452350.27,1,1
216607.77,452369.74,216604.57,452369.68,216601.37,452369.67,216598.44,452354.32,216601.7,452349.27,1,1
216607.79,452368.75,216604.59,452368.69,216601.39,452368.68,216598.45,452353.33,216601.71,452348.27,1,1
216607.81,452367.75,216604.61,452367.69,216601.41,452367.69,216598.46,452352.33,216601.72,452347.28,1,1
216607.83,452366.76,216604.63,452366.7,216601.43,452366.71,216598.47,452351.34,216601.73,452346.29,1,1
216607.85,452365.76,216604.65,452365.71,216601.45,452365.71,216598.48,452350.34,216601.75,452345.3,1,1
216607.87,452364.77,216604.67,452364.73,216601.47,452364.72,216598.5,452349.35,216601.76,452344.3,1,1
216607.89,452363.78,216604.69,452363.73,216601.49,452363.73,216598.51,452348.35,216601.77,452343.31,1,1
216607.91,452362.78,216604.71,452362.74,216601.51,452362.74,216598.52,452347.36,216601.78,452342.32,1,1
216607.93,452361.79,216604.73,452361.74,216601.53,452361.75,216598.53,452346.37,216601.8,452341.32,1,1
216607.95,452360.8,216604.75,452360.76,216601.54,452360.75,216598.54,452345.39,216601.81,452340.33,1,1
216607.97,452359.8,216604.76,452359.77,216601.56,452359.76,216598.56,452344.4,216601.82,452339.34,1,1
216607.98,452358.81,216604.78,452358.78,216601.58,452358.77,216598.57,452343.41,216601.83,452338.35,1,1
216607.99,452357.81,216604.79,452357.79,216601.59,452357.77,216598.58,452342.42,216601.84,452337.35,1,1
216608.01,452356.82,216604.81,452356.8,216601.61,452356.77,216598.59,452341.44,216601.86,452336.37,1,1
216608.02,452355.82,216604.82,452355.8,216601.62,452355.79,216598.61,452340.44,216601.87,452335.37,1,1
216608.03,452354.83,216604.83,452354.81,216601.63,452354.79,216598.62,452339.45,216601.88,452334.38,1,1
216608.04,452353.83,216604.84,452353.81,216601.64,452353.8,216598.63,452338.46,216601.89,452333.39,1,1
216608.06,452352.84,216604.86,452352.82,216601.65,452352.8,216598.64,452337.48,216601.9,452332.39,1,1
